problemNumber,numFlips
1,11
2,7
3,31
4,17
5,52
6,-1
7,70
8,6
9,30
10,205
11,31
12,63
13,-1
14,-1
15,7
16,103
17,19
18,10
19,27
20,16
21,14
22,259
23,-1
24,110
25,88
26,59
27,52
28,11
29,9
30,555
31,22
32,95
33,9
34,8
35,52
36,28
37,61
38,18
39,43
40,5
41,8
42,-1
43,-1
44,-1
45,-1
46,83
47,15
48,10
49,28
50,-1
